                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.59578,                0.45559,                 1.1126,                0.93546,                0.91199,                0.95842,                0.78817,                0.70282,                0.42308,                 1.1829,              0.0087724,              0.0087724,              0.0087724
                    126,                 0.5991,                0.45632,                 1.1124,                0.91643,                0.92777,                0.95716,                0.78541,                0.71558,                0.42527,                 1.1874,              0.0087625,              0.0087625,              0.0087625
                    127,                0.60003,                0.44671,                 1.1136,                0.91467,                0.93426,                0.96122,                0.79019,                0.71001,                0.40864,                 1.1812,              0.0087526,              0.0087526,              0.0087526
                    128,                0.59745,                0.45143,                 1.1131,                0.92413,                0.91736,                0.95742,                 0.7813,                 0.7223,                0.42803,                 1.2056,              0.0087427,              0.0087427,              0.0087427
                    129,                0.60166,                0.45581,                 1.1231,                0.92285,                0.92522,                0.95658,                0.78433,                0.71486,                0.42856,                 1.1872,              0.0087328,              0.0087328,              0.0087328
                    130,                0.59914,                0.45777,                  1.115,                0.93039,                 0.9113,                0.95309,                0.78526,                0.71245,                0.42649,                 1.1824,              0.0087229,              0.0087229,              0.0087229
                    131,                0.60221,                0.46533,                 1.1146,                0.93869,                0.91782,                0.95573,                0.78351,                0.71249,                0.41702,                 1.2032,               0.008713,               0.008713,               0.008713
                    132,                0.57635,                 0.4401,                 1.1063,                0.93778,                0.90504,                0.95757,                0.77987,                0.71037,                0.42152,                 1.1984,              0.0087031,              0.0087031,              0.0087031
                    133,                0.58348,                0.43829,                  1.105,                0.93044,                0.91597,                0.95728,                 0.7769,                0.72168,                0.42695,                 1.2016,              0.0086932,              0.0086932,              0.0086932
                    134,                0.59694,                0.44406,                 1.1055,                0.94041,                0.91467,                0.95728,                0.77613,                0.72728,                0.41987,                 1.1976,              0.0086833,              0.0086833,              0.0086833
                    135,                0.58872,                0.44697,                  1.102,                0.92222,                0.91222,                0.95526,                0.78675,                0.69826,                0.41829,                  1.167,              0.0086734,              0.0086734,              0.0086734
                    136,                 0.5814,                0.43851,                 1.1027,                 0.9303,                0.91531,                0.95554,                0.77949,                 0.7058,                0.42599,                  1.182,              0.0086635,              0.0086635,              0.0086635
                    137,                0.58809,                0.42426,                 1.0981,                0.93975,                0.91857,                0.95968,                0.78946,                0.70318,                0.41017,                 1.1797,              0.0086536,              0.0086536,              0.0086536
                    138,                 0.5837,                0.45969,                 1.0973,                 0.9452,                0.91053,                0.96047,                0.78299,                0.71445,                0.41905,                 1.1784,              0.0086437,              0.0086437,              0.0086437
                    139,                0.57079,                0.44221,                 1.0968,                0.93253,                0.91652,                0.95613,                0.78076,                0.70892,                0.42948,                 1.1803,              0.0086338,              0.0086338,              0.0086338
                    140,                0.57258,                0.43476,                 1.0952,                0.92694,                0.93319,                0.95575,                0.77886,                0.72626,                0.43251,                 1.2195,              0.0086239,              0.0086239,              0.0086239
                    141,                0.57471,                0.43276,                 1.1028,                0.92956,                 0.9059,                0.95802,                0.78543,                0.70757,                0.42804,                 1.1969,               0.008614,               0.008614,               0.008614
                    142,                0.58125,                0.43739,                 1.0989,                0.93311,                0.90755,                0.95822,                0.78537,                0.71011,                0.42168,                 1.2011,              0.0086041,              0.0086041,              0.0086041
                    143,                0.57704,                0.42876,                 1.0988,                0.91229,                0.92177,                0.96004,                0.78995,                0.71173,                0.42519,                 1.2062,              0.0085942,              0.0085942,              0.0085942
